Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
Piazza Pizza By Little Italy,Pizza,3.9,₹200 for two,2.5,"Tajganj, Agra","Staff, Flavorful Creations, Attentive Service","PizzaStaff, Flavorful Creations, Attentive Service₹200 for two3.9"
Marleys  The Milkshake,"Beverages, Desserts, Ice Cream, Shake, Burger, Sandwich",3.7,₹400 for two,3.7,"Tajganj, Agra","Good Music, Courteous Staff, Sustainable Practices","Beverages, Desserts, Ice Cream, Shake, Burger, SandwichGood Music, Courteous Staff, Sustainable Practices₹400 for two3.7"
Molecule Air Bar,"North Indian, Chinese, Continental, Italian",4.6,"₹2,000 for two",4.8,"Tajganj, Agra","Courteous Staff, Cozy Ambiance, Friendly Staff","North Indian, Chinese, Continental, ItalianCourteous Staff, Cozy Ambiance, Friendly Staff₹2,000 for two4.6"
The Salt Cafe Kitchen & Bar,"North Indian, Continental, Chinese, Italian, Finger Food",4.9,"₹1,800 for two",3.8,"Tajganj, Agra","Weekend Brunch, Sophisticated, Flavorful Creations","North Indian, Continental, Chinese, Italian, Finger FoodWeekend Brunch, Sophisticated, Flavorful Creations₹1,800 for two4.9"
Palm Burj,"North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, Desserts",4.5,"₹2,200 for two",1.9,"Rakabganj, Agra","Main Course, Customizable Dishes, Cozy Ambiance","North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, DessertsMain Course, Customizable Dishes, Cozy Ambiance₹2,200 for two4.5"
Unplugged Courtyard,"Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee",4.4,"₹1,600 for two",4.8,"Tajganj, Agra","Ambience, Local Sourcing, Brewed Beer","Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, CoffeeAmbience, Local Sourcing, Brewed Beer₹1,600 for two4.4"
Hichkee,"Continental, North Indian, Chinese",4.2,"₹1,700 for two",1.2,"Civil Lines, Agra","Authentic Flavors, Young Crowd, Impeccable Presentation","Continental, North Indian, ChineseAuthentic Flavors, Young Crowd, Impeccable Presentation₹1,700 for two4.2"
The Numberdaars,"Chinese, North Indian, Biryani, Mughlai, Kebab, Salad, Desserts, Beverages",4.0,₹800 for two,6.8,"Sikandra, Agra","Local Sourcing, Peaceful Ambience, Satisfying Portions","Chinese, North Indian, Biryani, Mughlai, Kebab, Salad, Desserts, BeveragesLocal Sourcing, Peaceful Ambience, Satisfying Portions₹800 for two4.0"
Barbeque Nation,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.4,"₹1,550 for two",2.5,"Civil Lines, Agra","Impeccable Presentation, Main Course, Exquisite Taste","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, DessertsImpeccable Presentation, Main Course, Exquisite Taste₹1,550 for two4.4"
The Nawaabs,"Mughlai, North Indian, Biryani, Kebab, Beverages",4.3,"₹1,100 for two",2.7,"Tajganj, Agra","Local Sourcing, Quantity, Young Crowd","Mughlai, North Indian, Biryani, Kebab, BeveragesLocal Sourcing, Quantity, Young Crowd₹1,100 for two4.3"
Oasis - Radisson Hotel Agra,"North Indian, Continental, Beverages",4.1,"₹2,700 for two",4.1,"Radisson Hotel Agra, Tajganj, Agra","Friendly Staff, Staff, Good Bartenders","North Indian, Continental, BeveragesFriendly Staff, Staff, Good Bartenders₹2,700 for two4.1"
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",4.4,"₹1,000 for two",3.0,"Civil Lines, Agra","Efficient Service, Quantity, Cozy Ambiance","Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, DessertsEfficient Service, Quantity, Cozy Ambiance₹1,000 for two4.4"
Masala Bistro,"Chinese, North Indian, Rolls, Kebab, Fast Food",3.7,₹350 for two,2.8,"Tajganj, Agra","Creative Cuisine, Memorable Experience, Authentic Flavors","Chinese, North Indian, Rolls, Kebab, Fast FoodCreative Cuisine, Memorable Experience, Authentic Flavors₹350 for two3.7"
Cafe G - Holiday Inn,"North Indian, Continental, South Indian, Chinese, Asian, Italian",4.4,"₹3,000 for two",2.6,"Civil Lines, Agra","Hospitable Staff, Sustainable Practices, Authentic Flavors","North Indian, Continental, South Indian, Chinese, Asian, ItalianHospitable Staff, Sustainable Practices, Authentic Flavors₹3,000 for two4.4"
Downtown Cafe,"North Indian, Mughlai, Continental, Chinese, Beverages, Desserts",4.9,"₹1,600 for two",1.4,"Rakabganj, Agra","Variety of Beer, Authentic Flavors, Vintage Decor","North Indian, Mughlai, Continental, Chinese, Beverages, DessertsVariety of Beer, Authentic Flavors, Vintage Decor₹1,600 for two4.9"
Pinch Of Spice,"North Indian, Chinese, Continental, Desserts, Beverages, Mughlai",4.5,"₹1,600 for two",3.2,"Tajganj, Agra","Exquisite Taste, Efficient Service, Good Music","North Indian, Chinese, Continental, Desserts, Beverages, MughlaiExquisite Taste, Efficient Service, Good Music₹1,600 for two4.5"
Cosmos Cafe & Bar - Fairfield By Marriott,"Continental, North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",3.4,"₹2,400 for two",2.6,"Civil Lines, Agra","Cafe, Friendly Staff, Extensive Mocktail Menu","Continental, North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, BeveragesCafe, Friendly Staff, Extensive Mocktail Menu₹2,400 for two3.4"
My Bar Headquarters,"North Indian, Chinese, Pizza, Fast Food, Desserts",New,"₹1,200 for two",3.1,"Khandari, Agra","Creative Cuisine, Clean Environment, Vintage Decor","North Indian, Chinese, Pizza, Fast Food, DessertsCreative Cuisine, Clean Environment, Vintage Decor₹1,200 for twoNew"
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,"₹6,000 for two",3.2,"ITC Mughal, Tajganj, Agra","Live Sports Screening, Seasonal Menu, Breakfast","North Indian, MughlaiLive Sports Screening, Seasonal Menu, Breakfast₹6,000 for two4.5"
Pind Balluchi,"North Indian, Mughlai, Chinese, Desserts",3.9,"₹1,100 for two",3.6,"Tajganj, Agra","Perfect Place, Innovative Dishes, Breakfast","North Indian, Mughlai, Chinese, DessertsPerfect Place, Innovative Dishes, Breakfast₹1,100 for two3.9"
Two Saints Bar & Kitchen,"North Indian, Bar Food, Oriental, Continental, Italian, Chinese, Mexican, Desserts",4.3,"₹1,800 for two",2.4,"Tajganj, Agra","Staff, Ambience, Flavorful Creations","North Indian, Bar Food, Oriental, Continental, Italian, Chinese, Mexican, DessertsStaff, Ambience, Flavorful Creations₹1,800 for two4.3"
Urban Deck,"Mexican, Italian, North Indian",4.2,"₹2,200 for two",2.7,"Civil Lines, Agra","Young Crowd, Great Service, Main Course","Mexican, Italian, North IndianYoung Crowd, Great Service, Main Course₹2,200 for two4.2"
The Wok Bar,"Asian, Japanese, Sushi, Thai, Korean, Desserts",4.4,"₹2,400 for two",2.7,"Civil Lines, Agra","Extensive Mocktail Menu, Great for Dates, Vintage Decor","Asian, Japanese, Sushi, Thai, Korean, DessertsExtensive Mocktail Menu, Great for Dates, Vintage Decor₹2,400 for two4.4"
Ek Number-Twisted Indian Cafe,"Chinese, North Indian, Continental, Mughlai, Italian, Kebab, Desserts, Beverages",3.8,"₹1,200 for two",3.4,"Civil Lines, Agra","Trendy Setting, Well-priced Options, Efficient Service","Chinese, North Indian, Continental, Mughlai, Italian, Kebab, Desserts, BeveragesTrendy Setting, Well-priced Options, Efficient Service₹1,200 for two3.8"
Made In Punjab,"North Indian, Mughlai, Biryani, Rolls, Chinese, Desserts, Beverages",4.6,"₹1,300 for two",2.7,"Civil Lines, Agra","Customizable Dishes, Variety of Beer, Cafe","North Indian, Mughlai, Biryani, Rolls, Chinese, Desserts, BeveragesCustomizable Dishes, Variety of Beer, Cafe₹1,300 for two4.6"
NU-CLER,"North Indian, Oriental, Asian, Mediterranean, Italian, Biryani, Fast Food",4.3,"₹2,000 for two",1.8,"Civil Lines, Agra","Friendly Staff, Local Sourcing, Great Service","North Indian, Oriental, Asian, Mediterranean, Italian, Biryani, Fast FoodFriendly Staff, Local Sourcing, Great Service₹2,000 for two4.3"
MoMo Cafe - Courtyard By Marriott,"North Indian, Fast Food, Continental, Beverages, Asian",4.5,"₹3,000 for two",4.8,"Courtyard by Marriott Agra, Tajganj, Agra","Authentic Flavors, Great for Dates, Peaceful Ambience","North Indian, Fast Food, Continental, Beverages, AsianAuthentic Flavors, Great for Dates, Peaceful Ambience₹3,000 for two4.5"
Folks Pub,"North Indian, Chinese",4.1,"₹1,400 for two",3.4,"Civil Lines, Agra","Breakfast, Flavorful Creations, Ambiance","North Indian, ChineseBreakfast, Flavorful Creations, Ambiance₹1,400 for two4.1"
Pind Balluchi,"Mughlai, North Indian",3.9,"₹1,000 for two",6.2,"Sikandra, Agra","Good Bartenders, Brewed Beer, Sustainable Practices","Mughlai, North IndianGood Bartenders, Brewed Beer, Sustainable Practices₹1,000 for two3.9"
